performer,name
https://www.festivalinfo.nl/artist/35590/Black-Bottle-Riot/,Black Bottle Riot
https://www.festivalinfo.nl/artist/69081/Black-Box-Revelation/,Black Box Revelation
https://www.festivalinfo.nl/artist/9433/Black-Eyed-Peas/,Black Eyed Peas
https://www.festivalinfo.nl/artist/73209/Black-Marble/,Black Marble
https://www.festivalinfo.nl/artist/15462/Black-Mountain/,Black Mountain
https://www.festivalinfo.nl/artist/129675/Black-Pumas/,Black Pumas
https://www.festivalinfo.nl/artist/34246/Black-Rain/,Black Rain
https://www.festivalinfo.nl/artist/1590/Black-Rebel-Motorcycle-Club/,Black Rebel Motorcycle Club
https://www.festivalinfo.nl/artist/9981/Black-Sun-Empire/,Black Sun Empire
https://www.festivalinfo.nl/artist/80932/Blackbriar/,Blackbriar
https://www.festivalinfo.nl/artist/131345/Blacks-Myths/,Blacks' Myths
https://www.festivalinfo.nl/artist/61089/Blanck-Mass/,Blanck Mass
https://www.festivalinfo.nl/artist/32512/Blaudzun/,Blaudzun
https://www.festivalinfo.nl/artist/47764/Bleed-From-Within/,Bleed From Within
https://www.festivalinfo.nl/artist/43675/Bliksem/,Bliksem
https://www.festivalinfo.nl/artist/5817/Blink-182/,Blink-182
https://www.festivalinfo.nl/artist/10380/Bloc-Party/,Bloc Party
https://www.festivalinfo.nl/artist/29568/Blood-Red-Shoes/,Blood Red Shoes
https://www.festivalinfo.nl/artist/29683/Blood-Sweat-Tears/,"Blood, Sweat & Tears"
https://www.festivalinfo.nl/artist/21911/Blue-Cheer/,Blue Cheer
https://www.festivalinfo.nl/artist/17688/Blue-Grass-Boogiemen/,Blue Grass Boogiemen
https://www.festivalinfo.nl/artist/113370/Blue-Guitars/,Blue Guitars
https://www.festivalinfo.nl/artist/2474/Blues-Explosion/,Blues Explosion
https://www.festivalinfo.nl/artist/72869/Blues-Pills/,Blues Pills
https://www.festivalinfo.nl/artist/5454/Blur/,Blur
https://www.festivalinfo.nl/artist/1237/Blof/,Bløf
https://www.festivalinfo.nl/artist/57555/Bo-Ningen/,Bo Ningen
https://www.festivalinfo.nl/artist/36933/Bob-Wayne-The-Outlaw-Carnies/,Bob Wayne & The Outlaw Carnies
https://www.festivalinfo.nl/artist/132539/Bochumer-Symphoniker/,Bochumer Symphoniker
https://www.festivalinfo.nl/artist/54334/Bodyfarm/,Bodyfarm
https://www.festivalinfo.nl/artist/96069/Boegies/,Boegies
https://www.festivalinfo.nl/artist/23153/Boemklatsch/,Boemklatsch
https://www.festivalinfo.nl/artist/3428/Boh-Foi-Toch/,Boh Foi Toch
https://www.festivalinfo.nl/artist/17717/Bohren-und-der-Club-of-Gore/,Bohren und der Club of Gore
https://www.festivalinfo.nl/artist/54189/Bomb-Diggy-Crew/,Bomb Diggy Crew
https://www.festivalinfo.nl/artist/46677/Bombay/,Bombay
https://www.festivalinfo.nl/artist/29574/Bombay-Bicycle-Club/,Bombay Bicycle Club
https://www.festivalinfo.nl/artist/58374/Bombino/,Bombino
https://www.festivalinfo.nl/artist/5360/Bong-Ra/,Bong-Ra
https://www.festivalinfo.nl/artist/122459/Bongloard/,Bongloard
https://www.festivalinfo.nl/artist/62772/Bongripper/,Bongripper
https://www.festivalinfo.nl/artist/5490/Bonnie-Raitt/,Bonnie Raitt
https://www.festivalinfo.nl/artist/10817/Bonobo/,Bonobo
https://www.festivalinfo.nl/artist/35171/Bootsy-Collins/,Bootsy Collins
https://www.festivalinfo.nl/artist/13740/Boris-JP-/,Boris (JP)
https://www.festivalinfo.nl/artist/11686/Boris-NL-/,Boris (NL)
https://www.festivalinfo.nl/artist/165837/Bornfree-MC/,Bornfree MC
https://www.festivalinfo.nl/artist/21351/Boys-Noize/,Boys Noize
